row,room_id,host_id,room_type,address,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,latitude,longitude,name
91,217142,8243075,Entire home/apt,Seattle,132,5,7,2,2,159,47.615339,-122.347905,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi
92,218741,468703,Private room,Seattle,131,5,3,1,1,90,47.682309,-122.37875,"Private, Large Room+Bath in Ballard"
93,219532,1037115,Entire home/apt,Seattle,76,4.5,6,3,1.5,275,47.655891,-122.36055,"Fun home in Funky Fremont, Seattle"
94,222885,72845,Private room,Seattle,30,5,2,1,1,75,47.675747,-122.357389,Gluten Free on Phinney Ridge
95,224763,8243075,Entire home/apt,Seattle,88,4.5,4,1,1,119,47.61386,-122.348787,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!"
96,225820,72845,Private room,Seattle,83,5,5,2,1,90,47.677809,-122.358621,Family Friendly on Phinney Ridge
97,226495,1037115,Entire home/apt,Seattle,81,4.5,6,2,1,150,47.690487,-122.369019,"Fun apartment in Ballard, Seattle"
98,226536,209571,Private room,Seattle,167,5,2,1,1,36,47.661197,-122.40144600000001,Serene Room in Sunny Cottage near Discovery Park
99,226677,30559,Private room,Seattle,132,5,2,1,3,45,47.550617,-122.318268,Sunny Parisian beauty room w/ comfy bed
100,227636,1187351,Entire home/apt,Seattle,210,5,3,1,1,85,47.668071,-122.362086,Large Ballard/Fremont apartment
101,229990,1201633,Entire home/apt,Seattle,1,,9,2,2,150,47.578229,-122.411812,Alki Beach 1/2 block to beach
102,231097,990692,Private room,Seattle,142,5,2,1,1,54,47.70639,-122.280746,Peaceful NE Seattle guest room
103,233502,1215564,Private room,Seattle,1,,2,1,1,60,47.573266,-122.374361,West Seattle room with private bath
104,241016,956883,Entire home/apt,Seattle,82,5,5,3,1,99,47.643286,-122.375819,Scandinavian Queen Anne Home
105,241032,956883,Entire home/apt,Seattle,285,4.5,4,1,1,175,47.636289,-122.371025,Stylish Queen Anne Apartment
106,251922,512084,Entire home/apt,Seattle,208,5,4,2,1,78,47.581433,-122.394109,"Sleepy North Admiral, West Seattle"
107,254012,1334187,Entire home/apt,Kirkland,178,5,2,1,2,160,47.681471,-122.195685,Downtown Kirkland Cottage
108,254340,1336214,Entire home/apt,Seattle,148,5,2,1,1,85,47.677166,-122.361693,Phinney Oasis-Ballard/Phinney
109,260613,1387754,Entire home/apt,Seattle,45,5,2,1,1,95,47.68649,-122.368462,Modern & New MIL Apt. in N. Ballard
110,261912,558743,Entire home/apt,Seattle,30,5,4,2,1,150,47.683781,-122.342013,"Storybook Tudor, house at GreenLake"
111,264829,862329,Entire home/apt,Seattle,47,4.5,7,2,1,87,47.575291,-122.302049,2bed Rm Inner City Suite Near Dwtn
112,271509,74305,Entire home/apt,Seattle,65,5,6,2,1,186,47.614845,-122.347534,★Harbor&City Views!★SALE 12/21
113,277416,8243075,Entire home/apt,Seattle,101,5,4,1,1,129,47.616075,-122.346677,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg
114,278830,1452570,Entire home/apt,Seattle,68,4.5,6,3,2,279,47.632918,-122.372471,Charming Craftsman house
115,281208,658155,Entire home/apt,Seattle,147,5,6,2,2.5,100,47.594711,-122.305588,"Luxury, Location, Great For Family"
116,281789,31509,Private room,Seattle,52,5,2,1,1,99,47.619883,-122.319613,11th Avenue Inn Bed and Breakfast
117,282934,781716,Entire home/apt,Seattle,89,5,2,1,1,140,47.657589,-122.354376,Seattle Sojourn Guest Suite near Lighthouse Roasters
118,284087,721070,Entire home/apt,Seattle,157,5,6,2,1,155,47.611481,-122.329121,The Nest in the Heart of the City
119,286080,74305,Entire home/apt,Seattle,81,4.5,6,2,2,167,47.614616,-122.34803,12/18-19★2Bed Sleep 6/Heart of Downtown Seattle
120,301059,74305,Entire home/apt,Seattle,44,5,4,1,1,124,47.614471,-122.348145,1/3-9✶ Belltown-Fantastic View
121,303277,1204187,Entire home/apt,Seattle,8,5,2,2,1,104,47.64481,-122.324285,Hip Condo Private Deck East Lake Union - Long Term
122,317248,658155,Entire home/apt,Seattle,147,5,7,2,2,120,47.62254,-122.317085,Historic Seattle Home Designed for Modern Living
123,318475,1634441,Entire home/apt,Seattle,122,5,2,1,1.5,130,47.656334,-122.349978,Center of the universe Fremont Flat
124,338091,1717589,Entire home/apt,Seattle,116,4.5,4,1,1,220,47.618971,-122.324207,"spacious, great location w view"
125,340706,1015653,Entire home/apt,Seattle,183,5,4,1,1,90,47.655885,-122.332136,Charming Wallingford Apartment
126,340738,1729224,Entire home/apt,Seattle,0,,2,1,1,195,47.623443,-122.306587,Victorian home on Capitol Hill
127,341454,1732181,Entire home/apt,Seattle,49,5,4,2,1,150,47.611366,-122.311188,"Cool 2BR Flat w/Private Balcony, City Views"
128,353039,1787819,Entire home/apt,Seattle,46,5,4,1,1,114,47.614006,-122.32235,St. John's Apt. 300 *Walkscore 99*
129,353110,1788284,Entire home/apt,Seattle,69,5,5,1,1,80,47.580029,-122.390251,West Seattle Backyard Vacation Cottage
130,356248,306615,Entire home/apt,Seattle,21,5,4,2,1,149,47.650471,-122.320221,Seattle 2BR Charmer with Holiday Ships on the Bay!
131,356608,1787819,Entire home/apt,Seattle,101,5,6,2,2,166,47.614006,-122.32235,St. John's Apt. 309 *Walkscore 99*
132,368403,4186078,Entire home/apt,Seattle,28,5,16,6,3,350,47.683545,-122.330911,Large Luxury Lakeside Seattle Home
133,370361,1865986,Private room,Seattle,193,5,2,1,1,55,47.683483,-122.357054,Private Guest Studio- Phinney Ridge
134,384797,50893,Entire home/apt,Seattle,43,5,16,6,2.5,475,47.625698,-122.320954,6 room/10 bed/3 bath- Tree and Lights Included
135,387078,1121532,Entire home/apt,Seattle,141,5,4,1,1,119,47.621778,-122.323787,Modern on Capitol Hill. LOCATION!
136,387464,1938802,Entire home/apt,Seattle,210,5,2,1,1,80,47.676753,-122.293972,Backyard Studio Apartment near UW
137,392140,3313235,Private room,Seattle,234,5,2,1,1,68,47.58513,-122.315261,Fantastic View-Close to Light Rail-Solar Powered!
138,392779,437055,Entire home/apt,Seattle,124,5,4,2,1,101,47.575769,-122.316362,2/1 Plush Modern Hilltop Retreat
139,394408,1971733,Entire home/apt,Seattle,48,4.5,4,2,2,150,47.658107,-122.357389,Sweet home in the heart of Fremont
140,397152,496809,Private room,Seattle,13,5,2,1,1,75,47.659892,-122.330429,Charming Bungalow Awaits You!
141,408526,2034501,Entire home/apt,Seattle,0,,7,3,4,218,47.675533,-122.376324,Chic 3 bed 4 bath Ballard townhome
142,413733,2057654,Entire home/apt,Seattle,138,5,5,2,1,125,47.60907,-122.296133,Chill Central District 2BR
143,424624,737323,Entire home/apt,Bellevue,69,5,2,1,1,99,47.595502,-122.133128,"Bellevue retreat, 10min to Seattle"
144,430609,165390,Entire home/apt,Seattle,46,5,8,3,2.5,229,47.658459,-122.34819,"Fresh & hip. 3br/2.5ba deck, bright, walk to all!."
145,430610,165390,Entire home/apt,Seattle,93,5,8,3,3,247,47.653557,-122.339516,"modern,super roof deck, garage,88 walkscore."
146,443942,64955,Entire home/apt,Seattle,33,4.5,2,1,1,125,47.615828,-122.340777,Stunning downtown flat top floor with internet
147,445199,2211872,Private room,Seattle,96,5,2,1,1,80,47.569658,-122.361711,The Chandelier Room
148,447523,2222321,Private room,Seattle,178,5,2,1,1,50,47.685232,-122.289435,Bedroom in artistic Northwest home
149,451012,2234071,Entire home/apt,Seattle,2,,6,3,2,195,47.713518,-122.358735,Spacious house near Ballard
150,461234,1870781,Entire home/apt,Seattle,244,5,2,1,1,99,47.683941,-122.373046,Browns House Guest Apt. in Ballard
151,461567,2294267,Private room,Seattle,261,5,3,1,1,70,47.69736,-122.376222,MODERN BRIGHT SUITE CLOSE TO BALLARD
152,475361,2342082,Entire home/apt,Seattle,114,5,2,1,1,76,47.717962,-122.291141,NE Seattle Artist Treehouse Suite!
153,483592,75946,Private room,Redmond,10,4.5,1,1,1,30,47.661073,-122.131011,★★★★★★★MS Redmond RM7
154,490076,3921530,Entire home/apt,Seattle,275,4.5,3,1,1,70,47.654298,-122.352589,Super cute w/gardens & charm. Great location!
155,491958,2431399,Entire home/apt,Seattle,298,5,4,1,1,75,47.560511,-122.278948,Columbia City Treehouse Vacation Rental
156,493591,2438665,Private room,Seattle,158,5,2,1,4,53,47.702954,-122.368612,"""THE 5-STAR  HOUSE"""
157,496074,2450062,Entire home/apt,Seattle,141,4.5,4,1,1,95,47.678046,-122.360426,Spacious Garden Apt Phinney Ridge
158,506542,1414691,Entire home/apt,Seattle,163,5,4,0,1,91,47.658539,-122.325818,"Garden apt, fresh honey"
159,515598,2539613,Private room,Seattle,22,5,2,1,2,45,47.569991,-122.360714,"Townhouse 15 min fr. Downtown, Alki 2"
160,522270,1037115,Entire home/apt,Seattle,18,5,2,1,1,135,47.637318,-122.340492,House boat on Lake Union Seattle
161,527273,2539613,Private room,Seattle,26,5,2,1,2,45,47.568856,-122.361844,"Townhouse 15 min fr Downtown, Alki 1"
162,544433,2612779,Entire home/apt,Seattle,398,5,2,1,1,95,47.620818,-122.356335,"8, Sparkling Seattle Center"
163,552325,306615,Entire home/apt,Seattle,7,5,4,2,1,149,47.650425,-122.320206,Super Charming 2 BR Apt w/Amazing Water Views!
164,555182,2222321,Entire home/apt,Seattle,18,4.5,6,3,1,275,47.683623,-122.288278,Artistic Seattle home..whole house
165,557126,2739131,Private room,Seattle,336,5,2,1,1,91,47.619677,-122.324147,Charming Capitol Hill Room
166,564220,2774354,Private room,Seattle,110,4.5,2,1,1,41,47.579165,-122.292119,Cute Bungalow #2 - near Light Rail
167,564428,2774354,Private room,Seattle,230,4.5,2,1,1,47,47.579554,-122.293686,Cute Bungalow #1 - near Light Rail
168,565703,2781551,Entire home/apt,Seattle,302,4.5,4,2,1,70,47.62125,-122.296967,Garden Apartment in Madison Valley
169,566435,2438665,Private room,Seattle,89,5,2,1,4,52,47.701551,-122.366511,"""THE 5-STAR HOUSE"""
170,568421,2665911,Entire home/apt,Redmond,125,5,3,1,1,55,47.679583,-122.116795,Cozy 1 Bdrm Suite w/Patio - Redmond
171,573677,2111792,Entire home/apt,Bellevue,113,5,2,3,2,100,47.645242,-122.158847,Aloha Retreat with Artist Studio
172,573942,30559,Private room,Seattle,142,5,2,1,3,50,47.550037,-122.317421,Queen Bee room w/memory foam bed
173,580815,1787819,Entire home/apt,Seattle,45,5,2,1,1,89,47.613895,-122.322281,St. John's Apt. 319 *Walkscore 99*
174,598023,2613029,Private room,Seattle,13,5,1,1,1,79,47.562206,-122.385978,West Seattle Home near Junction
175,604600,103427,Entire home/apt,Seattle,1,,4,1,1,210,47.614364,-122.331716,condo in seattle
176,606297,862329,Entire home/apt,Seattle,137,4.5,14,5,3,249,47.577561,-122.304281,5 Bed 3Bath House Near Downtown SEA
177,609252,3018655,Entire home/apt,Seattle,2,,4,2,1,275,47.698613,-122.363442,"Sans souci in Seattle: Clean, fresh air (4 guests)"
178,609421,3018655,Entire home/apt,Seattle,13,5,6,2,1,295,47.696562,-122.362751,CLEAN FRESH AIR: Sans souci in Seattle (6 guests)
179,609610,3022709,Entire home/apt,Seattle,22,5,4,1,1,90,47.569615,-122.293955,A place to stay: studio apartment
180,609701,3023407,Entire home/apt,Seattle,451,5,2,1,1,85,47.656508,-122.360571,Charming Fremont Garden Cottage
181,611500,862329,Entire home/apt,Seattle,40,4,9,3,2,115,47.577271,-122.301857,3Bed 2Bath w/ Deck Near Dwntwn SEA
182,611509,3032548,Private room,Seattle,73,5,2,1,1,80,47.663695,-122.336225,Craftsman with Private Bath & A/C
183,613020,3040367,Private room,Seattle,145,5,2,1,1,79,47.518552,-122.391188,Fabulous view and Great location
184,635878,3074414,Entire home/apt,Seattle,28,4,3,0,1,89,47.661538,-122.313591,Center UW Spacious 2 Beds (203)
185,637710,3181546,Entire home/apt,Seattle,97,5,8,3,1,240,47.651609,-122.356066,Roots at the Center of the Universe
186,639130,3187723,Entire home/apt,Seattle,13,4.5,8,4,3,250,47.609749,-122.290109,Fabulous home for a family!
189,649243,2308816,Private room,Seattle,230,5,1,1,3,49,47.655872,-122.356884,Room in Seattle's Fremont area
190,654734,3294357,Entire home/apt,Seattle,74,4.5,4,1,1,165,47.612343,-122.329722,Gorgeous Downtown/Convention Condo
191,657257,857146,Entire home/apt,Seattle,3,3.5,4,1,1,140,47.645974,-122.362324,Queen Anne - Close to SPU
192,658540,3319649,Private room,Seattle,39,5,2,1,1,34,47.603416,-122.308578,"AC, Walkable, tv, new bed, noise machine-5"
193,661708,3340441,Entire home/apt,Seattle,7,5,6,2,2.5,245,47.624234,-122.290419,Elegant Madison Park Townhome
194,674113,3401993,Private room,Seattle,233,5,1,1,1,42,47.568408,-122.286214,Ethiopian cottage #2
195,677266,30559,Private room,Seattle,83,4.5,2,1,3,65,47.550411,-122.318565,Moulin Rouge room French style double room
196,677365,926885,Entire home/apt,Seattle,53,5,6,2,1,98,47.529245,-122.358525,Spacious West Seattle Mid Century Modern In-law
197,681866,103825,Private room,Seattle,28,5,2,1,1,60,47.59243,-122.3019,Bright room in Seattle Judkins Park
199,689309,3520873,Private room,Seattle,10,5,2,1,1,125,47.722727,-122.356684,Elegance and Coziness in Broadview
200,699460,3587674,Private room,Seattle,223,5,2,1,1,95,47.671691,-122.385239,Ballard Artist's Studio
201,703058,1611114,Entire home/apt,Seattle,140,5,4,2,1,175,47.652434,-122.337853,True Wallingford Craftsman
202,704764,3620313,Entire home/apt,Seattle,226,5,5,2,1,130,47.642152,-122.369593,Elegant Vintage Craftsman Apartment With Garden
203,706385,2070664,Entire home/apt,Seattle,389,5,2,1,1,97,47.64339,-122.325822,Sky Cabin Apartment with Views
204,707599,2819258,Entire home/apt,Seattle,69,5,8,3,2.5,255,47.565436,-122.390757,"A touch of Modern, West Seattle"
205,708774,316200,Entire home/apt,Seattle,120,5,4,1,1,91,47.639996,-122.32412,Clean and Comfortable Eastlake/Lake Union 1 BR
206,710370,1121532,Entire home/apt,Seattle,19,4.5,6,2,2,199,47.638063,-122.277923,Waterfront Madison Park Villa
207,720742,987658,Entire home/apt,Seattle,5,5,4,2,3,185,47.667456,-122.35988,Seattle Sanctuary w/ Olympic View!
208,722537,3731681,Entire home/apt,Seattle,55,5,6,2,1,175,47.629957,-122.30861,Garden Suite in North Capitol Hill
209,723723,3740695,Entire home/apt,Seattle,50,4.5,1,1,1,155,47.619662,-122.289557,BAMBOO BUNGALOW
210,723846,3737272,Entire home/apt,Seattle,103,5,3,0,1,90,47.696531,-122.317259,Seattle Cozy Cottage in Maple Leaf
212,741699,2535710,Entire home/apt,Seattle,190,5,4,2,1,166,47.555463,-122.272184,Seward Park Zen Retreat 苏厄德公园禅撤退
213,748526,3932149,Entire home/apt,Seattle,84,4.5,2,1,1,81,47.679447,-122.363549,Mother in law studio-Ballard/phinne
214,752483,450548,Entire home/apt,Seattle,127,5,4,2,2,105,47.619949,-122.31665,Beautiful Capitol Hill Townhouse Near Light Rail!
215,755613,3976886,Private room,Seattle,80,5,2,1,1,82,47.573754,-122.29272,Gem in Mount Baker Neighborhood
217,757840,3991908,Entire home/apt,Seattle,261,5,10,4,2.5,250,47.631526,-122.358427,Hilltop House - 1 Block From Queen Anne Ave!
218,760471,2111774,Entire home/apt,Seattle,36,5,3,1,2.5,200,47.566741,-122.381084,"Luxury home, panoramic view, and gourmet kitchen"
219,769213,4057441,Entire home/apt,Seattle,386,5,2,0,1,66,47.609032,-122.315481,Private Garden Apt w/ Soaking Tub
220,778382,1717600,Entire home/apt,Seattle,14,5,6,2,3,275,47.633769,-122.31195,N Cap Hill Modern Mtn View Townhome
221,785830,4142902,Entire home/apt,Seattle,6,4.5,10,5,3.5,400,47.606737,-122.290088,Seattle View Home on Lake/Downtown
222,788146,4154214,Private room,Seattle,27,5,2,1,1.5,68,47.551422,-122.280875,Columbia City~Large room/Arty house
223,789229,1872473,Entire home/apt,Seattle,111,5,4,1,1,149,47.595828,-122.332346,Designer Loft in Pioneer Square
224,790860,4186082,Entire home/apt,Seattle,11,5,8,3,1,250,47.68533,-122.324852,Amazing Green Lake Home
225,793629,4181120,Entire home/apt,Seattle,247,5,2,1,1,60,47.579067,-122.315388,Cheery Seattle House with View
226,794264,3473370,Private room,Bellevue,138,5,1,1,1,88,47.624101,-122.203553,Downtown Bellevue + Breakfast
227,796329,3234739,Private room,Redmond,169,5,2,1,1,50,47.695759,-122.129814,Private Room & Bath in Redmond  Close to Microsoft
228,797358,4199445,Private room,Seattle,154,5,2,1,1,42,47.571243,-122.290788,Cozy Old House Near City Center & Light Rail
229,798486,4220970,Private room,Seattle,39,5,1,1,1,50,47.509961,-122.341976,Cute Semi-private Nook w/full bed & Beautiful Yard
230,803902,4047435,Entire home/apt,Seattle,14,5,6,3,1.5,250,47.577286,-122.409172,Lovely 3-Story Alki Beach Townhome
231,808134,74305,Entire home/apt,Seattle,63,5,6,2,2,144,47.614502,-122.348206,Overlook a Tranquil Courtyard at This Urban Retreat
